,Entity,Code,Year,Gross domestic product (GDP),900795-annotations,GDP per capita,900793-annotations,Continent
1883,Brazil,BRA,2010,2820492500000.0,,14215.612,,
1884,Brazil,BRA,2011,2968455000000.0,,14831.0,,
1885,Brazil,BRA,2012,3025484400000.0,,14985.498,,
1886,Brazil,BRA,2013,3116394600000.0,,15305.414,,
1887,Brazil,BRA,2014,3132100000000.0,,15251.89,,
1888,Brazil,BRA,2015,3021043100000.0,,14583.982,,South America
1889,Brazil,BRA,2016,2922076200000.0,,13990.646,,
1890,Brazil,BRA,2017,2960731700000.0,,14062.75,,
1891,Brazil,BRA,2018,3013541000000.0,,14197.55,,
1892,Brazil,BRA,2019,3050327200000.0,,14257.871,,
1893,Brazil,BRA,2020,2950377500000.0,,13685.926,,
1894,Brazil,BRA,2021,3097565300000.0,,14292.936,,
1895,Brazil,BRA,2022,3187413000000.0,,14640.076,,
2441,Canada,CAN,2010,1406355400000.0,,41209.426,,
2442,Canada,CAN,2011,1454221400000.0,,42197.0,,
2443,Canada,CAN,2012,1479829600000.0,,42476.344,,
2444,Canada,CAN,2013,1514296400000.0,,43008.83,,
2445,Canada,CAN,2014,1557757600000.0,,43800.64,,
2446,Canada,CAN,2015,1568025700000.0,,43761.527,,North America
2447,Canada,CAN,2016,1583728000000.0,,43702.08,,
2448,Canada,CAN,2017,1631871400000.0,,44493.652,,
2449,Canada,CAN,2018,1677189200000.0,,45087.887,,
2450,Canada,CAN,2019,1708858100000.0,,45284.215,,
2451,Canada,CAN,2020,1622144500000.0,,42493.63,,
2452,Canada,CAN,2021,1703443300000.0,,44379.594,,
2453,Canada,CAN,2022,1761295600000.0,,45529.645,,
3012,China,CHN,2010,12858808000000.0,,9658.419,,
3013,China,CHN,2011,13691527000000.0,,10221.0,,
3014,China,CHN,2012,14773158000000.0,,10946.834,,
3015,China,CHN,2013,15925464000000.0,,11731.295,,
3016,China,CHN,2014,17103948000000.0,,12515.198,,
3017,China,CHN,2015,18301225000000.0,,13325.432,,Asia
3018,China,CHN,2016,19545710000000.0,,14138.955,,
3019,China,CHN,2017,20894364000000.0,,15030.447,,
3020,China,CHN,2018,22294286000000.0,,15977.008,,
3021,China,CHN,2019,23631940000000.0,,16879.54,,
3022,China,CHN,2020,24151845000000.0,,17225.969,,
3023,China,CHN,2021,26180600000000.0,,18666.605,,
3024,China,CHN,2022,26966017000000.0,,19238.18,,
6045,France,FRA,2010,2342490500000.0,,36086.727,,
6046,France,FRA,2011,2393402000000.0,,36691.0,,
6047,France,FRA,2012,2400896400000.0,,36625.926,,
6048,France,FRA,2013,2414733700000.0,,36647.22,,
6049,France,FRA,2014,2437822800000.0,,36818.54,,
6050,France,FRA,2015,2464953700000.0,,37077.89,,Europe
6051,France,FRA,2016,2491956300000.0,,37343.84,,
6052,France,FRA,2017,2549057600000.0,,38037.336,,
6053,France,FRA,2018,2596599200000.0,,38555.465,,
6054,France,FRA,2019,2644454000000.0,,39084.656,,
6055,France,FRA,2020,2438594000000.0,,35913.82,,
6056,France,FRA,2021,2604822700000.0,,38242.133,,
6057,France,FRA,2022,2671568700000.0,,39065.71,,
6761,Germany,DEU,2010,3301123000000.0,,41109.582,,
6762,Germany,DEU,2011,3467713000000.0,,43189.0,,
6763,Germany,DEU,2012,3482225500000.0,,43288.32,,
6764,Germany,DEU,2013,3497463000000.0,,43359.137,,
6765,Germany,DEU,2014,3574741300000.0,,44132.758,,
6766,Germany,DEU,2015,3628073700000.0,,44405.168,,Europe
6767,Germany,DEU,2016,3708980000000.0,,45030.47,,
6768,Germany,DEU,2017,3808389500000.0,,46065.1,,
6769,Germany,DEU,2018,3845758600000.0,,46377.39,,
6770,Germany,DEU,2019,3886392800000.0,,46761.945,,
6771,Germany,DEU,2020,3742720900000.0,,44996.43,,
6772,Germany,DEU,2021,3841041600000.0,,46159.05,,
6773,Germany,DEU,2022,3909612700000.0,,46647.793,,
8002,India,IND,2010,5361371000000.0,,4525.7456,,
8003,India,IND,2011,5720693000000.0,,4768.0,,
8004,India,IND,2012,6052428000000.0,,4982.083,,
8005,India,IND,2013,6424470500000.0,,5224.1445,,
8006,India,IND,2014,6875186000000.0,,5524.1147,,
8007,India,IND,2015,7391521300000.0,,5869.8467,,Asia
8008,India,IND,2016,8057466000000.0,,6326.0645,,
8009,India,IND,2017,8550029500000.0,,6638.7275,,
8010,India,IND,2018,9173201000000.0,,7046.4365,,
8011,India,IND,2019,9595463000000.0,,7293.9897,,
8012,India,IND,2020,8945314000000.0,,6730.547,,
8013,India,IND,2021,9801621000000.0,,7315.1216,,
8014,India,IND,2022,10476248000000.0,,7765.593,,
8770,Italy,ITA,2010,2080546000000.0,,34765.938,,
8771,Italy,ITA,2011,2110883400000.0,,35151.0,,
8772,Italy,ITA,2012,2047959900000.0,,34010.035,,
8773,Italy,ITA,2013,2010255300000.0,,33317.242,,
8774,Italy,ITA,2014,2010164100000.0,,33310.703,,
8775,Italy,ITA,2015,2025809500000.0,,33620.742,,Europe
8776,Italy,ITA,2016,2052012400000.0,,34120.42,,
8777,Italy,ITA,2017,2086237100000.0,,34754.77,,
8778,Italy,ITA,2018,2105551700000.0,,35149.824,,
8779,Italy,ITA,2019,2115725800000.0,,35407.242,,
8780,Italy,ITA,2020,1925752000000.0,,32385.326,,
8781,Italy,ITA,2021,2060299900000.0,,34827.137,,
8782,Italy,ITA,2022,2136009300000.0,,36224.293,,
9013,Japan,JPN,2010,4480296000000.0,,35011.402,,
9014,Japan,JPN,2011,4468738400000.0,,34979.0,,
9015,Japan,JPN,2012,4530172300000.0,,35537.438,,
9016,Japan,JPN,2013,4621007000000.0,,36312.348,,
9017,Japan,JPN,2014,4634693300000.0,,36440.215,,
9018,Japan,JPN,2015,4707025000000.0,,37053.176,,Asia
9019,Japan,JPN,2016,4742509000000.0,,37384.56,,
9020,Japan,JPN,2017,4821960000000.0,,38078.96,,
9021,Japan,JPN,2018,4852985400000.0,,38403.68,,
9022,Japan,JPN,2019,4833468000000.0,,38332.934,,
9023,Japan,JPN,2020,4626661000000.0,,36826.64,,
9024,Japan,JPN,2021,4725884000000.0,,37678.277,,
9025,Japan,JPN,2022,4774494700000.0,,38268.79,,
15533,Russia,RUS,2010,3105249300000.0,,21737.385,,
15534,Russia,RUS,2011,3306766000000.0,,23130.0,,
15535,Russia,RUS,2012,3439833000000.0,,24020.31,,
15536,Russia,RUS,2013,3500216700000.0,,24389.973,,
15537,Russia,RUS,2014,3525987800000.0,,24135.035,,
15538,Russia,RUS,2015,3456429700000.0,,23607.953,,Europe
15539,Russia,RUS,2016,3463124000000.0,,23610.37,,
15540,Russia,RUS,2017,3526353700000.0,,24013.967,,
15541,Russia,RUS,2018,3625347400000.0,,24690.082,,
15542,Russia,RUS,2019,3705035800000.0,,25244.12,,
15543,Russia,RUS,2020,3606716600000.0,,24625.385,,
15544,Russia,RUS,2021,3809571200000.0,,26119.947,,
15545,Russia,RUS,2022,3731440800000.0,,25437.107,,
16750,South Korea,KOR,2010,1562822800000.0,,31537.773,,
16751,South Korea,KOR,2011,1609219800000.0,,32225.0,,
16752,South Korea,KOR,2012,1647889400000.0,,32826.48,,
16753,South Korea,KOR,2013,1700045100000.0,,33711.656,,
16754,South Korea,KOR,2014,1754480600000.0,,34573.09,,
16755,South Korea,KOR,2015,1803763800000.0,,35357.52,,Asia
16756,South Korea,KOR,2016,1856920700000.0,,36255.24,,
16757,South Korea,KOR,2017,1915599600000.0,,37296.047,,
16758,South Korea,KOR,2018,1971285900000.0,,38214.324,,
16759,South Korea,KOR,2019,2015521700000.0,,38935.992,,
16760,South Korea,KOR,2020,2001231700000.0,,38606.984,,
16761,South Korea,KOR,2021,2084182700000.0,,40277.953,,
16762,South Korea,KOR,2022,2137558600000.0,,41320.9,,
20517,United Kingdom,GBR,2010,2190919900000.0,,34754.473,,
20518,United Kingdom,GBR,2011,2223011300000.0,,34971.0,,
20519,United Kingdom,GBR,2012,2255210400000.0,,35243.64,,
20520,United Kingdom,GBR,2013,2296252500000.0,,35660.56,,
20521,United Kingdom,GBR,2014,2369725400000.0,,36521.86,,
20522,United Kingdom,GBR,2015,2426435800000.0,,37101.227,,Europe
20523,United Kingdom,GBR,2016,2478973000000.0,,37593.906,,
20524,United Kingdom,GBR,2017,2539548600000.0,,38283.938,,
20525,United Kingdom,GBR,2018,2582848200000.0,,38704.6,,
20526,United Kingdom,GBR,2019,2624285000000.0,,39113.01,,
20527,United Kingdom,GBR,2020,2334804000000.0,,34651.184,,
20528,United Kingdom,GBR,2021,2512190200000.0,,37134.33,,
20529,United Kingdom,GBR,2022,2615230600000.0,,38406.53,,
20743,United States,USA,2010,15239587000000.0,,49266.914,,
20744,United States,USA,2011,15477886000000.0,,49675.0,,
20745,United States,USA,2012,15830888000000.0,,50436.434,,
20746,United States,USA,2013,16122473000000.0,,51010.797,,
20747,United States,USA,2014,16491319000000.0,,51796.62,,
20748,United States,USA,2015,16937634000000.0,,52808.152,,North America
20749,United States,USA,2016,17220065000000.0,,53301.016,,
20750,United States,USA,2017,17606124000000.0,,54152.363,,
20751,United States,USA,2018,18124693000000.0,,55454.668,,
20752,United States,USA,2019,18540552000000.0,,56469.26,,
20753,United States,USA,2020,18027360000000.0,,54379.207,,
20754,United States,USA,2021,19099378000000.0,,57522.703,,
20755,United States,USA,2022,19493170000000.0,,58487.465,,
